Frame 1, Green Left Cheek: 116.32744495647721, Green Right Cheek: 108.35474930713026
Frame 2, Green Left Cheek: 116.20174091141833, Green Right Cheek: 108.29201310153691
Frame 3, Green Left Cheek: 116.2826420890937, Green Right Cheek: 108.17510707986898
Frame 4, Green Left Cheek: 116.24782386072708, Green Right Cheek: 108.14714033761653
Frame 5, Green Left Cheek: 116.26011264720943, Green Right Cheek: 108.15646258503402
Frame 6, Green Left Cheek: 116.24193548387096, Green Right Cheek: 108.11917359536407
Frame 7, Green Left Cheek: 116.18740399385561, Green Right Cheek: 108.1604938271605
Frame 8, Green Left Cheek: 116.23963133640552, Green Right Cheek: 108.21567145376669
Frame 9, Green Left Cheek: 116.21172555043523, Green Right Cheek: 108.18997228521037
Frame 10, Green Left Cheek: 116.25115207373273, Green Right Cheek: 108.36306374401613
Frame 11, Green Left Cheek: 116.26292882744495, Green Right Cheek: 108.3668430335097
Frame 12, Green Left Cheek: 116.21863799283155, Green Right Cheek: 108.42101284958427
Frame 13, Green Left Cheek: 116.35816692268305, Green Right Cheek: 108.48551272360797
Frame 14, Green Left Cheek: 116.2905785970302, Green Right Cheek: 108.56764928193499
Frame 15, Green Left Cheek: 116.31029185867895, Green Right Cheek: 108.57016880826404
Frame 16, Green Left Cheek: 116.36405529953917, Green Right Cheek: 108.58629377676996
Frame 17, Green Left Cheek: 116.415770609319, Green Right Cheek: 108.5981355505165
Frame 18, Green Left Cheek: 116.49462365591398, Green Right Cheek: 108.63391282438901
Frame 19, Green Left Cheek: 116.55376344086021, Green Right Cheek: 108.68934240362812
Frame 20, Green Left Cheek: 116.60163850486431, Green Right Cheek: 108.75661375661376
Frame 21, Green Left Cheek: 116.65335381464413, Green Right Cheek: 108.73091458805744
Frame 22, Green Left Cheek: 116.69047619047619, Green Right Cheek: 108.52506928697404
Frame 23, Green Left Cheek: 116.6405529953917, Green Right Cheek: 108.3814562862182
Frame 24, Green Left Cheek: 116.69047619047619, Green Right Cheek: 108.34996220710507
Frame 25, Green Left Cheek: 116.68663594470046, Green Right Cheek: 108.33711262282691
Frame 26, Green Left Cheek: 116.68151561699949, Green Right Cheek: 108.11917359536407
Frame 27, Green Left Cheek: 116.67485919098823, Green Right Cheek: 108.08264046359284
Frame 28, Green Left Cheek: 116.69073220686124, Green Right Cheek: 108.04837490551776
Frame 29, Green Left Cheek: 116.70378904249873, Green Right Cheek: 108.06525573192239
Frame 30, Green Left Cheek: 116.71249359959037, Green Right Cheek: 108.0
Frame 31, Green Left Cheek: 116.65796210957501, Green Right Cheek: 107.92920131015369
Frame 32, Green Left Cheek: 116.65642601126473, Green Right Cheek: 107.99924414210129
Frame 33, Green Left Cheek: 116.62928827444956, Green Right Cheek: 108.01688082640463
Frame 34, Green Left Cheek: 116.61520737327189, Green Right Cheek: 107.93625598387503
Frame 35, Green Left Cheek: 116.67306707629288, Green Right Cheek: 108.00932224741749
Frame 36, Green Left Cheek: 116.70225294418843, Green Right Cheek: 108.03426555807508
Frame 37, Green Left Cheek: 116.73092677931388, Green Right Cheek: 108.06626354245402
Frame 38, Green Left Cheek: 116.83205325140808, Green Right Cheek: 108.18039808516
Frame 39, Green Left Cheek: 116.72350230414746, Green Right Cheek: 108.15343915343915
Frame 40, Green Left Cheek: 116.87301587301587, Green Right Cheek: 108.29402872260015
Frame 41, Green Left Cheek: 116.90911418330774, Green Right Cheek: 108.31242126480221
Frame 42, Green Left Cheek: 116.78545826932924, Green Right Cheek: 108.22826908541194
Frame 43, Green Left Cheek: 116.6884280593958, Green Right Cheek: 108.10985134794659
Frame 44, Green Left Cheek: 116.60701484895033, Green Right Cheek: 107.91786344167296
Frame 45, Green Left Cheek: 116.51868919610855, Green Right Cheek: 107.76492819349963
Frame 46, Green Left Cheek: 116.5952380952381, Green Right Cheek: 107.73696145124717
Frame 47, Green Left Cheek: 116.49539170506912, Green Right Cheek: 107.61980347694633
Frame 48, Green Left Cheek: 116.46774193548387, Green Right Cheek: 107.6835474930713
Frame 49, Green Left Cheek: 116.47670250896057, Green Right Cheek: 107.67372134038801
Frame 50, Green Left Cheek: 116.41372247823861, Green Right Cheek: 107.73973293020912
